City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed,Date,Max Temperature
mwinilunga,zm,0,76,-11.73,24.43,,2.62,1529554604,49.95
griffith,au,0,100,-34.29,146.06,,4.63,1529554833,58.32
bajil,ye,0,75,15.06,43.29,,2.62,1529554604,72.18
comodoro rivadavia,ar,0,45,-45.87,-67.48,,16.11,1529553600,44.6
kruisfontein,za,0,94,-34,24.73,,10.89,1529554605,52.47
tshane,bw,0,41,-24.02,21.87,,6.98,1529554605,43.11
montepuez,mz,0,92,-13.13,39,,7.43,1529554605,61.65
ikorodu,ng,20,100,6.62,3.5,,3.36,1529550000,73.4
nhulunbuy,au,40,58,-12.18,136.78,,14.99,1529551800,84.2
hobyo,so,0,85,5.35,48.53,,20.18,1529554605,74.97
sangar,ru,12,51,63.92,127.47,,9.22,1529554606,65.16
eureka,us,90,87,40.8,-124.16,,6.93,1529552400,55.4
itarema,br,0,87,-2.92,-39.92,,10,1529554606,75.6
nelson bay,au,75,82,-32.72,152.14,,5.82,1529553600,59.0
coruripe,br,92,95,-10.12,-36.18,,14.81,1529554606,78.21
viedma,ar,0,44,-40.81,-62.99,,21.97,1529554606,48.24
carballo,es,0,100,43.21,-8.69,,3.36,1529553600,62.6
kongolo,cd,76,50,-5.39,27,,2.39,1529554607,74.7
port hardy,ca,75,68,50.7,-127.42,,8.05,1529550000,66.2
kisangani,cd,88,100,0.52,25.21,,2.62,1529554834,71.91
kyaikkami,mm,92,100,16.08,97.57,,5.64,1529554607,75.96
mogwase,za,0,89,-25.28,27.22,,3.96,1529554607,38.88
moissac,fr,90,94,44.11,1.08,,8.05,1529553600,68.0
oranjemund,na,0,100,-28.55,16.43,,3.06,1529554835,57.42
tabialan,ph,,,,,,,,
bridlington,gb,12,76,54.08,-0.19,,10.29,1529553000,50.0
ozgon,kg,,,,,,,,
kapit,my,0,77,2.02,112.94,,2.95,1529554608,84.51
rungata,ki,,,,,,,,
presidente epitacio,br,0,85,-21.76,-52.12,,2.39,1529554476,61.47
upernavik,gl,88,95,72.79,-56.15,,10.89,1529554486,32.58
preobrazheniye,ru,68,88,42.9,133.91,,2.62,1529554608,61.83
smolenka,ru,0,72,54.28,56.05,,13.42,1529551800,60.8
jalingo,ng,92,98,10.3,10.93,,9.66,1529554609,68.76
ferkessedougou,ci,76,87,9.6,-5.2,,6.98,1529554609,73.53
jiangyou,cn,100,97,31.78,104.73,,4.97,1529554609,72.09
havoysund,no,90,100,71,24.66,,8.05,1529553000,44.6
san carlos,co,75,93,6.19,-74.99,,1.61,1529553600,59.0
dinar,tr,20,93,38.07,30.16,,2.24,1529551200,57.2
houma,cn,20,52,35.63,111.36,,7.76,1529554610,81.09
shahr-e babak,ir,0,20,30.12,55.12,,5.19,1529554610,72.72
kisujszallas,hu,0,94,47.22,20.77,,2.24,1529552700,68.0
yerbogachen,ru,56,55,61.28,108.01,,2.06,1529554611,78.3
qasigiannguit,gl,0,43,68.82,-51.19,,16.11,1529553000,51.8
belaya kholunitsa,ru,68,84,58.84,50.85,,16.71,1529554611,52.92
camacha,pt,75,88,33.08,-16.33,,12.75,1529551800,66.2
urumqi,cn,,,,,,,,
alotau,pg,,,,,,,,
chama,zm,0,91,-11.22,33.16,,4.85,1529554611,53.91
mayo,ca,90,26,63.59,-135.9,,3.36,1529550000,80.6
dongsheng,cn,68,77,29.72,112.52,,10.89,1529554612,83.43
naze,jp,75,83,28.37,129.48,,18.34,1529550000,84.2
constitucion,mx,5,33,23.99,-104.67,,5.82,1529549160,77.0
zhanatas,kz,,,,,,,,
geraldton,au,0,52,-28.77,114.6,,9.17,1529551800,68.0
guerrero negro,mx,0,86,27.97,-114.04,,8.99,1529554521,63.27
weiser,us,20,38,44.25,-116.97,,9.17,1529551440,75.2
jyvaskyla,fi,,,,,,,,
tazovskiy,ru,12,72,67.47,78.7,,15.7,1529554837,65.97
deputatskiy,ru,0,23,69.3,139.9,,8.66,1529554613,70.56
